trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
187,False,"{'a': 0.9025, 'e': 5.166318390928177e-09}",25,8,31.94157203068484,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
188,False,"{'a': 0.9025, 'e': 4.66260234781268e-09}",25,13,19.62251299050739,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
189,False,"{'a': 0.9025, 'e': 4.207998618900943e-09}",20,9,18.82855724577679,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
190,False,"{'a': 0.9025, 'e': 3.797718753558101e-09}",25,9,24.457258026424793,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
191,False,"{'a': 0.9025, 'e': 3.4274411750861863e-09}",35,20,27.73118354122391,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
192,False,"{'a': 0.9025, 'e': 3.0932656605152828e-09}",20,0,21.038766664450126,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
193,False,"{'a': 0.9025, 'e': 2.7916722586150427e-09}",20,10,21.452893113842418,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
194,False,"{'a': 0.9025, 'e': 2.519484213400076e-09}",20,13,13.473793424235335,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
195,False,"{'a': 0.9025, 'e': 2.2738345025935685e-09}",20,8,26.59626874744535,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
196,False,"{'a': 0.9025, 'e': 2.0521356385906955e-09}",25,16,14.137516935114132,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
197,False,"{'a': 0.9025, 'e': 1.8520524138281026e-09}",25,11,25.938204579241493,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
198,False,"{'a': 0.9025, 'e': 1.6714773034798625e-09}",30,16,25.014299405022193,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
199,False,"{'a': 0.9025, 'e': 1.5085082663905758e-09}",20,15,9.588926033148827,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
200,False,"{'a': 0.9025, 'e': 1.3614287104174948e-09}",20,13,13.931854303520796,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
201,False,"{'a': 0.9025, 'e': 1.228689411151789e-09}",30,15,25.642921159444978,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
202,False,"{'a': 0.9025, 'e': 1.1088921935644895e-09}",20,3,25.984248166618258,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
203,False,"{'a': 0.9025, 'e': 1.0007752046919517e-09}",20,12,12.837563714975827,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
204,False,"{'a': 0.9025, 'e': 9.031996222344864e-10}",20,14,11.504915271525682,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
205,False,"{'a': 0.9025, 'e': 8.151376590666239e-10}",25,8,24.948601659858024,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
206,False,"{'a': 0.9025, 'e': 7.35661737307628e-10}",30,13,30.641071818455433,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
207,False,"{'a': 0.9025, 'e': 6.639347179201343e-10}",20,13,14.965306131731436,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
208,False,"{'a': 0.9025, 'e': 5.992010829229212e-10}",35,15,37.82899448809356,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
209,False,"{'a': 0.9025, 'e': 5.407789773379363e-10}",20,6,23.570660616265137,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
210,False,"{'a': 0.9025, 'e': 4.880530270474875e-10}",20,3,31.078474183198942,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
211,False,"{'a': 0.9025, 'e': 4.404678569103575e-10}",25,14,19.391884442407587,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
212,False,"{'a': 0.9025, 'e': 3.975222408615976e-10}",20,16,9.4010719193141,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
213,False,"{'a': 0.9025, 'e': 3.5876382237759183e-10}",20,7,22.245757371976804,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
214,False,"{'a': 0.9025, 'e': 3.2378434969577665e-10}",30,18,16.924546603141614,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
215,False,"{'a': 0.9025, 'e': 2.922153756004384e-10}",20,16,7.665843759251509,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
216,False,"{'a': 0.9025, 'e': 2.6372437647939567e-10}",20,10,18.172013145728886,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
217,False,"{'a': 0.9025, 'e': 2.3801124977265455e-10}",20,14,8.982312122524833,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
218,False,"{'a': 0.9025, 'e': 2.1480515291982073e-10}",30,14,17.07301474566696,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
219,False,"{'a': 0.9025, 'e': 1.938616505101382e-10}",25,11,26.076113679050565,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
220,False,"{'a': 0.9025, 'e': 1.7496013958539972e-10}",20,9,19.88534975187331,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
221,False,"{'a': 0.9025, 'e': 1.5790152597582325e-10}",20,7,25.912462001782398,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
222,False,"{'a': 0.9025, 'e': 1.4250612719318049e-10}",20,9,20.53991823382687,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
223,False,"{'a': 0.9025, 'e': 1.2861177979184538e-10}",20,13,13.34325391142388,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
224,False,"{'a': 0.9025, 'e': 1.1607213126214045e-10}",25,13,21.455039009881975,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
225,False,"{'a': 0.9025, 'e': 1.0475509846408174e-10}",25,16,16.830739867853065,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
226,False,"{'a': 0.9025, 'e': 9.454147636383378e-11}",25,8,25.536850348528596,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
227,False,"{'a': 0.9025, 'e': 8.532368241835997e-11}",25,8,-8.75251385108184,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
228,False,"{'a': 0.9025, 'e': 7.700462338256988e-11}",30,20,20.437096533365192,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
229,False,"{'a': 0.9025, 'e': 6.949667260276931e-11}",20,14,12.51765321158607,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
230,False,"{'a': 0.9025, 'e': 6.27207470239993e-11}",20,13,13.607733554917935,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
231,False,"{'a': 0.9025, 'e': 5.660547418915937e-11}",20,7,24.204252838530593,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
232,False,"{'a': 0.9025, 'e': 5.108644045571633e-11}",30,10,36.97771582350187,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
233,False,"{'a': 0.9025, 'e': 4.6105512511283985e-11}",20,13,15.116792858690234,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
234,False,"{'a': 0.9025, 'e': 4.161022504143379e-11}",20,14,8.420329129933231,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
235,False,"{'a': 0.9025, 'e': 3.7553228099894e-11}",25,8,29.36915959076438,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
236,False,"{'a': 0.9025, 'e': 3.389178836015433e-11}",25,13,17.298212839334074,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
237,False,"{'a': 0.9025, 'e': 3.0587338995039285e-11}",20,9,19.91372499362113,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
238,False,"{'a': 0.9025, 'e': 2.7605073443022954e-11}",25,10,26.259587833234562,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
239,False,"{'a': 0.9025, 'e': 2.4913578782328216e-11}",20,14,12.00721827015577,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
240,False,"{'a': 0.9025, 'e': 2.248450485105121e-11}",25,16,15.1783463915334,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
241,False,"{'a': 0.9025, 'e': 2.029226562807372e-11}",20,9,20.27237862544525,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
242,False,"{'a': 0.9025, 'e': 1.831376972933653e-11}",30,10,37.61575173096648,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
243,False,"{'a': 0.9025, 'e': 1.6528177180726218e-11}",20,5,19.93713679704948,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
244,False,"{'a': 0.9025, 'e': 1.491667990560541e-11}",30,19,19.342717527624544,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
245,False,"{'a': 0.9025, 'e': 1.3462303614808883e-11}",30,19,21.629394269759008,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
246,False,"{'a': 0.9025, 'e': 1.2149729012365017e-11}",20,9,19.793492988272437,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
247,False,"{'a': 0.9025, 'e': 1.0965130433659427e-11}",25,3,35.3337008714959,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
248,False,"{'a': 0.9025, 'e': 9.896030216377634e-12}",25,3,39.039324894324025,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
249,False,"{'a': 0.9025, 'e': 8.931167270280813e-12}",20,13,12.13129477063649,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
250,False,"{'a': 0.9025, 'e': 8.060378461428434e-12}",25,20,10.293322510872134,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
